Sales-RepName,In-Sales,Exp-Out-Commission
Bradley Bollam,14377,1190.16
Thatcher Somerton,10694,895.52
Ted Jansik,14852,1228.16
Alvie Fassan,17325,1426
Devonna Smullen,19752,1620.16
Maximilien Drewery,10117,849.36
Rodrique Langthorn,12057,1004.56
Haley Tomaskunas,18378,1510.24
Iormina Scrivener,18208,1496.64
Basil Hemms,16958,1396.64
Gilbertina Gingel,18189,1495.12
Rheba Boyall,18433,1514.64
Saundra Fynan,12828,1066.24
Gardiner Beesey,11963,997.04
Gardiner Smeeth,17412,1432.96
Leupold Jensen,16958,1396.64
Binnie Darlaston,18838,1547.04
Edan Baynton,15042,1243.36
Bettye Bootell,15878,1310.24
Wendell Cary,15061,1244.88
Felicity Hirche,13467,1117.36
Damaris Glassard,12069,1005.52
Hally Wrought,16517,1361.36
Krista Kolin,17339,1427.12
Sansone Bilbery,13325,1106
Micki Kennaway,16900,1392
Westleigh Hassent,18946,1555.68
Cecily Alleyne,15158,1252.64
Dulci McPaik,17753,1460.24
Gusta Itzcovich,13800,1144
Wilhelmina Sterley,13455,1116.4
Elberta Cordeux,16573,1365.84
Andrea Dows,11241,939.28
Melania Condy,19570,1605.6
Kerrill Straine,17993,1479.44
Reynolds Wandrey,19175,1574
Karalynn Darthe,12728,1058.24
Lowe Giovanardi,13601,1128.08
Nita Wookey,11143,931.44
Carly Payle,12036,1002.88
Anstice Blundin,18906,1552.48
Elianora Jedrzejewsky,19262,1580.96
Rocky Sanday,14572,1205.76
Leoine Gouldie,14074,1165.92
Nicolea Culvey,15934,1314.72
Tedie Brooking,12640,1051.2
Corina Salisbury,10428,874.24
Perri Karchowski,10237,858.96
Dexter Wesson,19496,1599.68
Mortie Redd,17960,1476.8
Inness Stailey,12148,1011.84
Micah Wickling,14165,1173.2
Claudio Bennallck,18001,1480.08
Gerry Moulster,17939,1475.12
Percy Collard,14614,1209.12
Tate Merrydew,16713,1377.04
Ermengarde Bleakley,11445,955.6
Mile Gabitis,10711,896.88
Hali Larver,17288,1423.04
Rubia Grinham,10898,911.84
Lester Trethewey,19226,1578.08
Kirstyn Cometson,17898,1471.84
Katharina Attyeo,13763,1141.04
Jewelle Webland,12500,1040
Massimo Gloy,13806,1144.48
Jeannette Baylay,11964,997.12
Alane Dudding,13554,1124.32
Spence Sumsion,12547,1043.76
Reggie Likly,17334,1426.72
Ofilia Clissett,17047,1403.76
Dirk Winkless,15520,1281.6
Lynnet Gratrex,12238,1019.04
Ardyce Winterflood,19612,1608.96
Jaime Bouller,12281,1022.48
Marcelo Leale,18524,1521.92
Callie Westoff,18973,1557.84
Cecilla Trevascus,14053,1164.24
Ronda Dey,13181,1094.48
Tris Gillmore,18147,1491.76
Cyndie Althrope,19159,1572.72
Briny By,15109,1248.72
Rheba Aleksankov,15440,1275.2
Nickey Daykin,14464,1197.12
Rois Mapstone,10318,865.44
Eli Leal,14047,1163.76
Ari Taphouse,17322,1425.76
Ermentrude Crawshay,19817,1625.36
Iorgo Dyott,10283,862.64
Rosabella Dimitresco,19738,1619.04
Eran Garn,17962,1476.96
Rosalyn Jowle,13942,1155.36
Troy Kynan,18225,1498
Cassandra Blewmen,16737,1378.96
Ambros Plascott,18189,1495.12
Celie O'Sheilds,17136,1410.88
Ive Randall,17890,1471.2
Sallie Jamison,17575,1446
Weylin Dilworth,16740,1379.2
Almire Urrey,14797,1223.76
Jermain Giovannelli,19012,1560.96
Butch Gremain,11829,986.32
Garek Pine,19470,1597.6
Chandler Palphramand,14538,1203.04
Florence Lancley,10907,912.56
Camey Molyneaux,17074,1405.92
Donnell Hails,10637,890.96
Heath Colledge,10158,852.64
Elias Killford,16423,1353.84
Bennie Gough,11342,947.36
Julia Cristea,18322,1505.76
Fredia De Beauchemp,14730,1218.4
Adrea Carlick,16804,1384.32
Carlota Wreath,12184,1014.72
Regine Firman,14544,1203.52
Massimiliano Meredyth,16336,1346.88
Maximilian McClenaghan,19447,1595.76
Dulcine Thaxter,13369,1109.52
Leicester Laroze,14615,1209.2
Kerry Pickworth,13731,1138.48
Aylmar Agott,19247,1579.76
Willis Tidey,19322,1585.76
Ive Radcliffe,11753,980.24
Vittorio Carlet,10460,876.8
Archaimbaud Sheal,15457,1276.56
Janelle Ramshay,14864,1229.12
Randal Ruhben,19772,1621.76
Gail Shafe,11729,978.32
Eberhard Weblin,15003,1240.24
Salaidh Cruwys,19008,1560.64
Niccolo Trevaskis,17757,1460.56
Quincy Gerriessen,17741,1459.28
Rudolfo Ruppel,17322,1425.76
Ferdie Dundridge,13441,1115.28
Brandtr Whitcomb,12416,1033.28
Trip Snowden,10600,888
Pippy Barbery,15384,1270.72
Edmon Whiskerd,11838,987.04
Heriberto Paff,12690,1055.2
Ollie Verdey,14145,1171.6
Heinrick Sherrington,17811,1464.88
Elizabeth McDougald,18128,1490.24
Mayor Blanning,18188,1495.04
Eugenia Zolini,11880,990.4
Brady Stening,10604,888.32
Randell Cantillion,19941,1635.28
Brittaney Brooking,11836,986.88
Chrystel McLellan,12852,1068.16
Ricardo McCullagh,18830,1546.4
Dari Edy,15744,1299.52
Thaddeus Morewood,13338,1107.04
Ellwood Ludy,19641,1611.28
Rosy Eagleton,11730,978.4
Graig Pickavance,12002,1000.16
Henryetta Palfreeman,17248,1419.84
Maynord Battabee,15366,1269.28
Alena Lammert,14967,1237.36
Matthiew Alecock,16514,1361.12
Lucky Cafe,10296,863.68
Douglas Snoddon,11263,941.04
Justinn Shillingford,11320,945.6
Connie Alessandrelli,17613,1449.04
Kimble Helder,17562,1444.96
Danielle Jersh,19181,1574.48
Jaymie Larchier,17884,1470.72
Stephan Tarquini,15144,1251.52
Ciro Reis,17348,1427.84
Bradan Gregori,15826,1306.08
Vladamir Posselow,14112,1168.96
Skyler Mayworth,13514,1121.12
Jeddy Garr,10848,907.84
Andros Sweetnam,16548,1363.84
Weidar Dodle,12952,1076.16
York Linney,12997,1079.76
Noby Welbelove,12527,1042.16
Gwenore Bousquet,13419,1113.52
Izzy Candwell,16215,1337.2
Stephen Kedward,13519,1121.52
Muriel Gillings,11016,921.28
Miran Avarne,14982,1238.56
Antone Heffernon,19502,1600.16
Shea Christescu,12926,1074.08
Anne-corinne Semkins,19554,1604.32
Lloyd Blockley,14925,1234
Shandeigh McJarrow,17870,1469.6
Nerty Dudgeon,13764,1141.12
Elsie Keneleyside,14055,1164.4
Flory Perrycost,10331,866.48
Carroll Yosevitz,19633,1610.64
Dorry Ielden,17931,1474.48
Giorgia Folliss,12799,1063.92
Benoit Gilardengo,10951,916.08
Melly Kobisch,18073,1485.84
Cathi Arthan,15773,1301.84
Margaret Kenafaque,16551,1364.08
Gaston Polendine,10700,896
Gladys Muckart,14288,1183.04
Betti Stevenson,17336,1426.88
Shawn Paddie,19893,1631.44
Corri Dootson,12034,1002.72
Saidee Siebert,12820,1065.6
Valentino Plaunch,18718,1537.44
Arny Grisewood,19359,1588.72
Elka Girdwood,18167,1493.36
Carolus Shakle,12248,1019.84
Al Cordero,10275,862
Brenden Rany,10746,899.68
Marijo Rutherforth,12725,1058
Isac Secretan,10173,853.84
Alisun Edmonstone,14886,1230.88
Ellie Enever,13137,1090.96
Hy Abrahmson,18873,1549.84
Felita Breadmore,14969,1237.52
Ernst Mulchrone,15956,1316.48
Vikky Dashwood,14515,1201.2
Hewett Mayne,10970,917.6
Lilla Sargant,17699,1455.92
Ines Chippindale,13407,1112.56
Olivier Chesson,12953,1076.24
Brinna Asche,12690,1055.2
Meier Winchcum,18103,1488.24
Brandyn Posnett,15982,1318.56
Toinette Cheers,18983,1558.64
Cristina Greeno,10810,904.8
Giralda MacQuarrie,12978,1078.24
Charisse Whittleton,10885,910.8
Fletch Wallege,19373,1589.84
Israel Bevir,14172,1173.76
Nefen Redhole,10922,913.76
Vilma McSwan,19067,1565.36
Bronny Sille,18537,1522.96
Talya Cartmael,16532,1362.56
Gaby De Ath,10252,860.16
Anjela Fipp,18536,1522.88
Benedetta Hucker,16278,1342.24
Korry Matushevitz,14760,1220.8
Alena Bearns,17646,1451.68
Lorette Lowless,11212,936.96
Sile Baumford,13104,1088.32
Laughton Haysey,13782,1142.56
Phineas Anyene,14136,1170.88
Jose Gritsunov,10701,896.08
Anita Baughan,15584,1286.72
Jacquenetta Tommaseo,11132,930.56
Farleigh Labrone,15856,1308.48
Jemie Blazevic,15113,1249.04
Reuben Shingfield,11667,973.36
Karlen McCrohon,10049,843.92
Kakalina McFaul,11847,987.76
Guenevere Piperley,11177,934.16
Sayres Whyberd,10393,871.44
Lucita Vaulkhard,11057,924.56
Craggy Padbury,14613,1209.04
Florina Keetch,10727,898.16
Lurette Crann,14163,1173.04
Briggs Batalini,10259,860.72
Avril Keunemann,19022,1561.76
Ollie Knoller,10139,851.12
Dorothea Ollerearnshaw,12861,1068.88
Kit Hamal,13809,1144.72
Izabel Trudgeon,10229,858.32
Abbi Fairburne,19310,1584.8
Kelly Kneeland,14478,1198.24
Artie Bogart,16430,1354.4
Lexine Druery,13884,1150.72
Leontine Anney,16823,1385.84
Martynne Hadley,11916,993.28
Romonda Oene,12812,1064.96
Bella Annetts,17878,1470.24
Katrine Davidai,12706,1056.48
Eva Rothchild,13043,1083.44
Flore Gouldie,14112,1168.96
Gill Nollet,13560,1124.8
Cosmo Davioud,11284,942.72
Marline Raynham,17501,1440.08
Neile Heaven,12535,1042.8
Norry Leport,11989,999.12
Joline Fitch,12657,1052.56
Curt Oakland,10659,892.72
Jesselyn Everley,16980,1398.4
Benjie Cawthra,15483,1278.64
Lief Guilayn,12220,1017.6
Thor Blumer,13685,1134.8
Alex Beton,19355,1588.4
Spike McLleese,18950,1556
Inesita Trenouth,11354,948.32
Port Bickersteth,18217,1497.36
Gilburt Francesco,14542,1203.36
Purcell Norvel,11674,973.92
Dorise Mackison,15884,1310.72
Martelle Suero,17943,1475.44
Gerri Steventon,14003,1160.24
Siana Revans,12055,1004.4
Des Durrance,12862,1068.96
Jenda Crebbin,14228,1178.24
Odette Walmsley,10193,855.44
Hamish Stennard,16754,1380.32
Garvin Larman,19571,1605.68
Fraze Packer,19609,1608.72
Ricardo Scad,15084,1246.72
Lester O' Markey,15417,1273.36
Loraine Belison,10282,862.56
Averell Doulden,17421,1433.68
Aloysius Sicely,15828,1306.24
Mellisa Taverner,14485,1198.8
Paule Kopfer,19833,1626.64
Melisa Wallsworth,19309,1584.72
Devora Samsworth,15194,1255.52
Faythe Pell,13989,1159.12
Carolynn Illingsworth,15751,1300.08
Lura Bortoloni,16396,1351.68
Robin Wenn,15076,1246.08
Nathalie Waterstone,13305,1104.4
Clarine Whiffen,11327,946.16
Manon Meade,19498,1599.84
Sebastiano Kadar,14342,1187.36
Ora Loach,12834,1066.72
Hubert Duffett,15633,1290.64
Emmey Bidewell,19149,1571.92
Anne McAndrew,18352,1508.16
Chelsae Woolmore,11506,960.48
Fanechka Dickey,19160,1572.8
Kissiah Gelderd,10896,911.68
Alexine Verbeek,14730,1218.4
Vicki Rolfo,10798,903.84
Ermin Probets,17010,1400.8
Dian Killford,16089,1327.12
Kalindi Willett,15918,1313.44
Ainslie Moorwood,14536,1202.88
Montague Gaudon,16712,1376.96
Paulette Lawton,16155,1332.4
Merwyn Crombie,12097,1007.76
Joey Girkin,14872,1229.76
Brooke Mant,12665,1053.2
Payton Walcar,10919,913.52
Sandro Barrott,15831,1306.48
Elden Pile,16056,1324.48
Barr Aishford,14516,1201.28
Lucia Lethardy,11478,958.24
Sutton Zamora,13304,1104.32
Minnaminnie Grattage,18908,1552.64
Sterne Bustin,14148,1171.84
Milly Fry,16497,1359.76
Abdel Booler,19056,1564.48
Cindy Slader,17345,1427.6
Jill Hadland,15841,1307.28
Miof mela Tatters,15109,1248.72
Kaylyn Willicott,13588,1127.04
Madelin Skiggs,11898,991.84
Matthias Hardiman,14853,1228.24
Doroteya Domnick,19086,1566.88
Mel Glasser,16529,1362.32
Joaquin Eskriett,19959,1636.72
Moyra Giovannardi,16615,1369.2
Vere Else,17368,1429.44
Cesya Odlin,12193,1015.44
Elinore Leipnik,11924,993.92
Ferd Katzmann,19865,1629.2
Shane Benion,15422,1273.76
Pauly Fevers,16832,1386.56
Kit Scrigmour,10306,864.48
Alvinia Elie,11331,946.48
Viviana Wooff,19529,1602.32
Auroora Loudwell,15191,1255.28
Henrie Jantzen,17630,1450.4
Nessa Matyushenko,12880,1070.4
Shelley Hellin,10719,897.52
Kevyn Paradis,19762,1620.96
Giselle Schwerin,14788,1223.04
Keelia Fleg,16455,1356.4
Bonnibelle Fulep,17534,1442.72
Neysa Rominov,17265,1421.2
Averill Josling,19267,1581.36
Bud Pett,10360,868.8
Jerrilyn Franiak,12247,1019.76
Gilberte Stetson,15639,1291.12
Alley Crichley,19538,1603.04
Sibylle Inwood,14311,1184.88
Gayler Leates,11239,939.12
Jerrold Ghelardi,18544,1523.52
Deane Aleksashin,10805,904.4
Alic Haselden,16947,1395.76
Roz Stiles,10537,882.96
Valery Crankshaw,10551,884.08
Odo Gallemore,16891,1391.28
Nicolis Simmonds,13732,1138.56
Rudolf Boylin,11606,968.48
Broddy Radborne,15697,1295.76
Bryon Boarleyson,19119,1569.52
Mary Hardy-Piggin,12613,1049.04
Pincas Eadmeads,12715,1057.2
Giulio Southcott,17300,1424
Olympe Wegenen,14083,1166.64
Tara Derrington,16461,1356.88
Ritchie Hourihan,11891,991.28
Ian Lankford,14659,1212.72
Bat Ruskin,14191,1175.28
Janeen MacChaell,10071,845.68
Pen Miskin,11949,995.92
Deborah Bockings,14771,1221.68
Payton Disman,18828,1546.24
Christyna Croote,11073,925.84
Geri Brockington,10722,897.76
Inglebert Turbayne,19770,1621.6
Ame Jimson,12223,1017.84
Windy Rathborne,12878,1070.24
Emelen Ellingsworth,10418,873.44
Clair Twells,11629,970.32
Geoffrey Battill,11985,998.8
Allx Villa,18571,1525.68
Saraann Zoppie,17816,1465.28
Lianne Hardstaff,15828,1306.24
Montgomery Bickerstaffe,15596,1287.68
Nevil Driscoll,17488,1439.04
Lawry Denys,13250,1100
Aron Sherborne,19895,1631.6
Nikki Kernar,14421,1193.68
Hank Hofler,10568,885.44
Rasla Alberts,10268,861.44
Grazia Stapforth,18883,1550.64
Bordy Skynner,16032,1322.56
Giorgia Aujean,10337,866.96
Amabel Divine,12687,1054.96
Christy Punchard,19077,1566.16
Aylmar Eyden,15394,1271.52
Miguelita Dayes,15025,1242
Emmalynne Cicculi,11743,979.44
Cherry Aronowitz,18273,1501.84
Jamil Fretwell,11372,949.76
Normand Cranidge,13669,1133.52
Skell Gillbey,17241,1419.28
Ives Assiter,11776,982.08
Farica Rubery,11640,971.2
Hephzibah Buchett,15555,1284.4
Griffin Padkin,15020,1241.6
Gwendolyn Lowers,10262,860.96
Cristy Orbon,10457,876.56
Pren Bottjer,16003,1320.24
Thaddeus Goolding,17032,1402.56
Fair Chick,13220,1097.6
Virgina Urpeth,10201,856.08
Albina Geroldini,15319,1265.52
Roda Brimmicombe,13267,1101.36
Chaim Stainburn,11608,968.64
Maritsa Rabjohns,17492,1439.36
Trula Fairfull,10644,891.52
Noby Boxhall,11050,924
Cheryl Glowacki,11170,933.6
Magdalene Ruger,14806,1224.48
Ebonee Pic,15958,1316.64
Nadia Longforth,15444,1275.52
Colene Andraud,17000,1400
Kristy Chadwell,16161,1332.88
Florina Calderon,13310,1104.8
Ebony Broschek,16993,1399.44
Vitia Gogarty,14354,1188.32
Devland Ogelsby,17223,1417.84
Natasha Scarsbrick,19304,1584.32
Jedd Sconce,18566,1525.28
Mallory Rumens,19555,1604.4
Hetty Brum,16213,1337.04
Emmeline Cardoso,10934,914.72
D'arcy Drepp,16589,1367.12
Teressa Urey,15847,1307.76
Anita Valenti,14370,1189.6
Arabele Darthe,16677,1374.16
Ricard Gregson,11273,941.84
Vevay Carlin,14292,1183.36
Charmane Ferrarone,17299,1423.92
Ferdy Goalby,11298,943.84
Dame Berndtsson,18448,1515.84
Ibrahim Dufore,13084,1086.72
Tove Everall,16074,1325.92
Rube Dockrill,19663,1613.04
Roxane Fetherby,11549,963.92
Maxi Blackaby,18763,1541.04
Wilow Antognoni,11747,979.76
Brunhilde Moulds,15207,1256.56
Goldie Gilkison,10661,892.88
Hilde Benning,17844,1467.52
Darell Sproule,15607,1288.56
Chadwick Brizell,14396,1191.68
Leroi Blakesley,19742,1619.36
Konrad Girodon,19894,1631.52
Fidelio Tocque,12673,1053.84
Flinn Colt,11929,994.32
Aymer Aleksandrov,14192,1175.36
Ronda Ross,13361,1108.88
Laurie Darco,13911,1152.88
Tedmund Weadick,19580,1606.4
Ailsun Nand,11348,947.84
Doria Skuce,17865,1469.2
Zoe Embery,14872,1229.76
Rhett Galton,16012,1320.96
Brooks Jefferies,11629,970.32
Mellisa Darrigrand,18177,1494.16
Quincy Fould,19040,1563.2
Joyan Dearnaley,11074,925.92
Tine Nevin,17779,1462.32
Welch Kilford,17234,1418.72
Barty Cartledge,16998,1399.84
Gaby Delagua,13310,1104.8
Sukey Standidge,15988,1319.04
Mikael Warrender,13105,1088.4
Hadlee Pitherick,11842,987.36
Sterling Taysbil,16964,1397.12
Courtney Sawell,12862,1068.96
Don Lamont,16521,1361.68
Arv Shelly,17521,1441.68
Llewellyn Wilkowski,16840,1387.2
Marcelline Calafate,14209,1176.72
Isa Chesshire,14427,1194.16
Roxine McCrae,13788,1143.04
Milo Tern,15468,1277.44
Standford Skylett,16020,1321.6
Darby Mattock,17557,1444.56
Joella Towson,19679,1614.32
Ward Linklater,18499,1519.92
Adora Ryam,13147,1091.76
Perl McCandless,10423,873.84
Brucie Lawie,15732,1298.56
Callean Reap,11844,987.52
Thorin Leipoldt,15937,1314.96
Lalo Althorp,10409,872.72
Benji Beste,17584,1446.72
Clemens Claussen,13988,1159.04
Golda McRobert,10180,854.4
Archer Blewis,14709,1216.72
Shoshana Simonett,19043,1563.44
Quintilla Giroldi,11412,952.96
Emmit Care,14067,1165.36
Leelah Goodsell,17859,1468.72
Marshall Pierrepont,18077,1486.16
Krispin Yukhnevich,15671,1293.68
Alfred Zahor,11222,937.76
Tracie Corwood,13184,1094.72
Riannon Bambrick,18841,1547.28
Devonne Corbally,11232,938.56
Dinnie Cattini,15178,1254.24
Johnathon Leeds,10179,854.32
Itch Switland,14795,1223.6
Towney Dicke,16314,1345.12
Kinnie Castellino,14699,1215.92
Hayden Shurrock,17573,1445.84
Sylas Potell,17955,1476.4
Rube Bedberry,16835,1386.8
Rheta Jeffry,10672,893.76
Ax Gribbin,16092,1327.36
Daisy Dargie,19328,1586.24
Sheila-kathryn Todd,19435,1594.8
Edita Toor,11663,973.04
Merrily Marks,17684,1454.72
Emmye Glaves,17580,1446.4
Willie Cuniam,16364,1349.12
Tamiko Reichert,12381,1030.48
Keen Berard,12926,1074.08
Dedra Wernher,15643,1291.44
Cori Biaggioli,14172,1173.76
Lenee Bussen,15910,1312.8
Malissia Sheards,14121,1169.68
Adiana Scholar,16486,1358.88
Peggi Beart,18503,1520.24
Joby Beslier,11376,950.08
Winthrop McKerley,12904,1072.32
Mariellen Matejka,11001,920.08
Ethelind Furse,19432,1594.56
Lev Enoksson,11270,941.6
Corine Nitti,12376,1030.08
Mallissa Ruddiman,15912,1312.96
Ollie Ponnsett,10593,887.44
Marianne Hamill,12548,1043.84
Johna Proud,16639,1371.12
Rogers Gibbons,12788,1063.04
Aurlie Chisnall,11154,932.32
Egan Trobey,19947,1635.76
Sibilla Ianson,19812,1624.96
Adina Bunston,16218,1337.44
Gaby Vallentin,17472,1437.76
Tatiania Bullier,16024,1321.92
Roana Yegorkov,12681,1054.48
Donica Yashanov,11361,948.88
Saundra Tutchings,19908,1632.64
Lonnard Gloy,17426,1434.08
Aube Slowey,13341,1107.28
Merry Listone,14047,1163.76
Stephanus Farrent,18780,1542.4
Caril Elgey,12180,1014.4
Cathrine Alwen,19075,1566
Andria Fitzsimmons,14281,1182.48
Lacy Maddie,11554,964.32
Ardath Cabbell,12895,1071.6
Netty Hargraves,14656,1212.48
Lanna Spencelayh,10808,904.64
Caitlin Meineck,15029,1242.32
Lucinda Fetherston,19609,1608.72
Olvan Espinal,14048,1163.84
Tabby Hrishchenko,15718,1297.44
Dorey Sibylla,13801,1144.08
Reider But,15816,1305.28
Lena Malter,16249,1339.92
Valentijn Furmston,19856,1628.48
Fedora Pulley,18703,1536.24
Lorne Goodge,13072,1085.76
Cordelia Barwick,10086,846.88
Broderick Duffy,16214,1337.12
Chaddy Menilove,14233,1178.64
Neale Matushevich,14035,1162.8
Kip Franciotti,12980,1078.4
Selena Levinge,10646,891.68
Jena Slimming,18901,1552.08
Em Lilie,13751,1140.08
Oswald Karus,17449,1435.92
Margaretha Dominec,12195,1015.6
Karoline Cinnamond,19228,1578.24
Alexandr Rodenhurst,13859,1148.72
Bryana Rothwell,16334,1346.72
Mireielle Millberg,17329,1426.32
Valentin Vela,11806,984.48
Griswold Sanchiz,18301,1504.08
Waylen Prosch,17978,1478.24
Silas Blazic,17704,1456.32
Sylvester Kellie,13574,1125.92
Xenos Amphlett,12839,1067.12
Robbin Fraulo,16934,1394.72
Rozanne Bischop,11570,965.6
Jordon Coulthard,15817,1305.36
Justin Topper,18518,1521.44
Retha Bogue,19352,1588.16
Araldo Crang,16486,1358.88
Paten Brickwood,13788,1143.04
Adriane Eisenberg,12968,1077.44
Mar Stourton,14329,1186.32
Sauncho Basilone,11926,994.08
Artie Tewes,18914,1553.12
Jose Oxtaby,11462,956.96
Jarvis Dahmel,16353,1348.24
Kienan Cluett,18125,1490
Brittani Bullerwell,12940,1075.2
Tiffi Geely,19094,1567.52
Kath Spearett,13080,1086.4
Fee Bradmore,10430,874.4
Darell Hundey,12011,1000.88
Missy Featenby,15988,1319.04
Nicholas Bazoge,16756,1380.48
Constantina Lebbon,18176,1494.08
Guenevere Kittredge,12782,1062.56
Petr Winder,14843,1227.44
Fredericka Hyrons,12649,1051.92
Evaleen Le Huquet,17281,1422.48
Elston Branni,12351,1028.08
Linc Pilfold,14257,1180.56
Hedda Esgate,16365,1349.2
Oswald Mallinar,16878,1390.24
Pansy Liebrecht,15652,1292.16
Vinita Blundin,19953,1636.24
Shelton Clendennen,16050,1324
Wallace Lakenton,17682,1454.56
Genevra De Vries,12692,1055.36
Clarine Cleere,15446,1275.68
Ariella Forty,15070,1245.6
Aleksandr Kulver,19720,1617.6
Katti McNish,16561,1364.88
Karlene Sizland,17668,1453.44
Garrik Dulson,15823,1305.84
Ashton Sanchiz,12540,1043.2
Rollo Izkoveski,18959,1556.72
Talia Moulster,17196,1415.68
Britney Galiford,14754,1220.32
Garner Mahomet,10147,851.76
Katherina Loughan,19919,1633.52
Torie Scotchbourouge,18147,1491.76
Flora Andreasson,12670,1053.6
Linnie Daoust,11529,962.32
Beltran Busby,19993,1639.44
Ansel Baxill,11044,923.52
Sollie Oldrey,17710,1456.8
Englebert Stanyforth,10130,850.4
Charity Sans,16008,1320.64
Peyton Whipp,18784,1542.72
Orton Minor,13178,1094.24
Skippy Pafford,14044,1163.52
Minor Jarry,10678,894.24
Vale Kemmish,13696,1135.68
Shayne Glisenan,17391,1431.28
Lucy Crean,10140,851.2
Coralyn Josselson,13089,1087.12
Kirsti Lethbrig,17458,1436.64
Ariel Durbann,11997,999.76
Elissa Searl,17396,1431.68
Job Pakeman,13299,1103.92
Denyse Beckinsall,15497,1279.76
Stefa Joslin,18559,1524.72
Granny Quiddinton,13925,1154
Barret Teresse,15130,1250.4
Christean Bride,14347,1187.76
Christophe Faldo,10767,901.36
Myrah Pressland,13541,1123.28
Madlen Slyde,12000,1000
Amye Lemonby,15503,1280.24
Clovis Zorzoni,12416,1033.28
Barnett Pawlaczyk,14333,1186.64
Duncan Jablonski,12099,1007.92
Silvano Roe,14502,1200.16
Jeniece Juett,11965,997.2
Marc Rawstorn,12083,1006.64
Merna Deavall,12043,1003.44
Noellyn Steabler,18882,1550.56
Kiri Arkley,13279,1102.32
Junina Bleazard,14527,1202.16
Laureen Jouandet,17986,1478.88
Michell Mothersole,10677,894.16
Mortimer Maria,13626,1130.08
Marchall Groundwator,11384,950.72
Drucill Jurgenson,12047,1003.76
Hagan Raggitt,18238,1499.04
Edita Lorentz,19205,1576.4
Welby Wiggam,14176,1174.08
Aldrich Mulcock,16911,1392.88
Kinsley Garard,11942,995.36
Gilligan Markova,18317,1505.36
Willey Slott,19812,1624.96
